[2026-04-18T10:14:11.682] PKT #0069 | Proto: IPv6   | Src: fe80::b031:3eff:fe86:10: | Dst: ff02::16: | Len: 110 bytes | TTL:  | Flags:  | DPID: 0000000000000001 Port: 1 | IPv6 fe80::b031:3eff:fe86:10 → ff02::16
[2026-04-18T10:14:11.688] PKT #0070 | Proto: IPv6   | Src: fe80::b031:3eff:fe86:10: | Dst: ff02::fb: | Len: 213 bytes | TTL:  | Flags:  | DPID: 0000000000000003 Port: 4 | IPv6 fe80::b031:3eff:fe86:10 → ff02::fb
[2026-04-18T10:14:11.692] PKT #0071 | Proto: IPv6   | Src: fe80::4c28:dcff:fe1e:4c40: | Dst: ff02::fb: | Len: 107 bytes | TTL:  | Flags:  | DPID: 0000000000000003 Port: 4 | IPv6 fe80::4c28:dcff:fe1e:4c40 → ff02::fb
[2026-04-18T10:14:11.694] PKT #0072 | Proto: IPv6   | Src: fe80::4c28:dcff:fe1e:4c40: | Dst: ff02::fb: | Len: 107 bytes | TTL:  | Flags:  | DPID: 0000000000000002 Port: 4 | IPv6 fe80::4c28:dcff:fe1e:4c40 → ff02::fb
[2026-04-18T10:14:11.716] PKT #0073 | Proto: IPv6   | Src: fe80::b031:3eff:fe86:10: | Dst: ff02::16: | Len: 110 bytes | TTL:  | Flags:  | DPID: 0000000000000004 Port: 4 | IPv6 fe80::b031:3eff:fe86:10 → ff02::16
[2026-04-18T10:14:11.721] PKT #0074 | Proto: IPv6   | Src: fe80::b031:3eff:fe86:10: | Dst: ff02::16: | Len: 110 bytes | TTL:  | Flags:  | DPID: 0000000000000003 Port: 4 | IPv6 fe80::b031:3eff:fe86:10 → ff02::16
[2026-04-18T10:14:11.735] PKT #0075 | Proto: IPv6   | Src: fe80::eceb:cfff:fe53:fe72: | Dst: ff02::16: | Len: 110 bytes | TTL:  | Flags:  | DPID: 0000000000000002 Port: 4 | IPv6 fe80::eceb:cfff:fe53:fe72 → ff02::16
[2026-04-18T10:14:11.779] PKT #0076 | Proto: IPv6   | Src: fe80::4c28:dcff:fe1e:4c40: | Dst: ff02::fb: | Len: 213 bytes | TTL:  | Flags:  | DPID: 0000000000000001 Port: 3 | IPv6 fe80::4c28:dcff:fe1e:4c40 → ff02::fb
[2026-04-18T10:14:11.785] PKT #0077 | Proto: IPv6   | Src: fe80::86f:67ff:fe08:3631: | Dst: ff02::fb: | Len: 201 bytes | TTL:  | Flags:  | DPID: 0000000000000003 Port: 4 | IPv6 fe80::86f:67ff:fe08:3631 → ff02::fb
[2026-04-18T10:14:11.794] PKT #0078 | Proto: IPv6   | Src: fe80::4c28:dcff:fe1e:4c40: | Dst: ff02::fb: | Len: 213 bytes | TTL:  | Flags:  | DPID: 0000000000000003 Port: 4 | IPv6 fe80::4c28:dcff:fe1e:4c40 → ff02::fb
[2026-04-18T10:14:11.802] PKT #0079 | Proto: IPv6   | Src: fe80::4c28:dcff:fe1e:4c40: | Dst: ff02::fb: | Len: 213 bytes | TTL:  | Flags:  | DPID: 0000000000000002 Port: 4 | IPv6 fe80::4c28:dcff:fe1e:4c40 → ff02::fb
[2026-04-18T10:14:11.829] PKT #0080 | Proto: IPv6   | Src: fe80::eceb:cfff:fe53:fe72: | Dst: ff02::fb: | Len: 213 bytes | TTL:  | Flags:  | DPID: 0000000000000002 Port: 4 | IPv6 fe80::eceb:cfff:fe53:fe72 → ff02::fb
[2026-04-18T10:14:11.849] PKT #0081 | Proto: IPv6   | Src: fe80::206d:8bff:fe21:fc73: | Dst: ff02::fb: | Len: 201 bytes | TTL:  | Flags:  | DPID: 0000000000000001 Port: 2 | IPv6 fe80::206d:8bff:fe21:fc73 → ff02::fb
[2026-04-18T10:14:11.868] PKT #0082 | Proto: IPv6   | Src: fe80::b031:3eff:fe86:10: | Dst: ff02::fb: | Len: 201 bytes | TTL:  | Flags:  | DPID: 0000000000000001 Port: 1 | IPv6 fe80::b031:3eff:fe86:10 → ff02::fb
[2026-04-18T10:14:11.888] PKT #0083 | Proto: IPv6   | Src: fe80::206d:8bff:fe21:fc73: | Dst: ff02::fb: | Len: 201 bytes | TTL:  | Flags:  | DPID: 0000000000000004 Port: 4 | IPv6 fe80::206d:8bff:fe21:fc73 → ff02::fb
[2026-04-18T10:14:11.897] PKT #0084 | Proto: IPv6   | Src: fe80::200:ff:fe00:9: | Dst: ff02::16: | Len: 90 bytes | TTL:  | Flags:  | DPID: 0000000000000004 Port: 3 | IPv6 fe80::200:ff:fe00:9 → ff02::16
[2026-04-18T10:14:11.904] PKT #0085 | Proto: IPv6   | Src: fe80::200:ff:fe00:9: | Dst: ff02::2: | Len: 70 bytes | TTL:  | Flags:  | DPID: 0000000000000004 Port: 3 | IPv6 fe80::200:ff:fe00:9 → ff02::2
[2026-04-18T10:14:11.909] PKT #0086 | Proto: IPv6   | Src: fe80::608e:65ff:fe1a:64b4: | Dst: ff02::16: | Len: 90 bytes | TTL:  | Flags:  | DPID: 0000000000000004 Port: 4 | IPv6 fe80::608e:65ff:fe1a:64b4 → ff02::16
[2026-04-18T10:14:11.924] PKT #0087 | Proto: IPv6   | Src: fe80::608e:65ff:fe1a:64b4: | Dst: ff02::2: | Len: 70 bytes | TTL:  | Flags:  | DPID: 0000000000000004 Port: 4 | IPv6 fe80::608e:65ff:fe1a:64b4 → ff02::2
[2026-04-18T10:14:11.944] PKT #0088 | Proto: IPv6   | Src: fe80::608e:65ff:fe1a:64b4: | Dst: ff02::16: | Len: 90 bytes | TTL:  | Flags:  | DPID: 0000000000000004 Port: 4 | IPv6 fe80::608e:65ff:fe1a:64b4 → ff02::16
[2026-04-18T10:14:11.949] PKT #0089 | Proto: IPv6   | Src: fe80::b031:3eff:fe86:10: | Dst: ff02::fb: | Len: 201 bytes | TTL:  | Flags:  | DPID: 0000000000000004 Port: 4 | IPv6 fe80::b031:3eff:fe86:10 → ff02::fb
[2026-04-18T10:14:11.966] PKT #0090 | Proto: IPv6   | Src: fe80::86f:67ff:fe08:3631: | Dst: ff02::16: | Len: 110 bytes | TTL:  | Flags:  | DPID: 0000000000000003 Port: 4 | IPv6 fe80::86f:67ff:fe08:3631 → ff02::16
[2026-04-18T10:14:11.972] PKT #0091 | Proto: IPv6   | Src: fe80::200:ff:fe00:4: | Dst: ff02::16: | Len: 90 bytes | TTL:  | Flags:  | DPID: 0000000000000003 Port: 1 | IPv6 fe80::200:ff:fe00:4 → ff02::16
[2026-04-18T10:14:11.977] PKT #0092 | Proto: IPv6   | Src: fe80::200:ff:fe00:4: | Dst: ff02::2: | Len: 70 bytes | TTL:  | Flags:  | DPID: 0000000000000003 Port: 1 | IPv6 fe80::200:ff:fe00:4 → ff02::2
[2026-04-18T10:14:11.981] PKT #0093 | Proto: IPv6   | Src: fe80::b031:3eff:fe86:10: | Dst: ff02::fb: | Len: 201 bytes | TTL:  | Flags:  | DPID: 0000000000000003 Port: 4 | IPv6 fe80::b031:3eff:fe86:10 → ff02::fb
[2026-04-18T10:14:11.985] PKT #0094 | Proto: IPv6   | Src: fe80::86f:67ff:fe08:3631: | Dst: ff02::fb: | Len: 107 bytes | TTL:  | Flags:  | DPID: 0000000000000003 Port: 4 | IPv6 fe80::86f:67ff:fe08:3631 → ff02::fb
[2026-04-18T10:14:11.988] PKT #0095 | Proto: IPv6   | Src: fe80::206d:8bff:fe21:fc73: | Dst: ff02::fb: | Len: 201 bytes | TTL:  | Flags:  | DPID: 0000000000000002 Port: 4 | IPv6 fe80::206d:8bff:fe21:fc73 → ff02::fb
[2026-04-18T10:14:11.996] PKT #0096 | Proto: IPv6   | Src: fe80::200:ff:fe00:3: | Dst: ff02::16: | Len: 90 bytes | TTL:  | Flags:  | DPID: 0000000000000002 Port: 3 | IPv6 fe80::200:ff:fe00:3 → ff02::16
[2026-04-18T10:14:12.004] PKT #0097 | Proto: IPv6   | Src: fe80::200:ff:fe00:3: | Dst: ff02::2: | Len: 70 bytes | TTL:  | Flags:  | DPID: 0000000000000002 Port: 3 | IPv6 fe80::200:ff:fe00:3 → ff02::2
[2026-04-18T10:14:12.010] PKT #0098 | Proto: IPv6   | Src: fe80::200:ff:fe00:1: | Dst: ff02::16: | Len: 90 bytes | TTL:  | Flags:  | DPID: 0000000000000002 Port: 1 | IPv6 fe80::200:ff:fe00:1 → ff02::16
[2026-04-18T10:14:12.026] PKT #0099 | Proto: IPv6   | Src: fe80::200:ff:fe00:1: | Dst: ff02::2: | Len: 70 bytes | TTL:  | Flags:  | DPID: 0000000000000002 Port: 1 | IPv6 fe80::200:ff:fe00:1 → ff02::2
[2026-04-18T10:14:12.033] PKT #0100 | Proto: IPv6   | Src: fe80::608e:65ff:fe1a:64b4: | Dst: ff02::fb: | Len: 107 bytes | TTL:  | Flags:  | DPID: 0000000000000004 Port: 4 | IPv6 fe80::608e:65ff:fe1a:64b4 → ff02::fb
[2026-04-18T10:14:12.045] PKT #0101 | Proto: IPv6   | Src: fe80::200:ff:fe00:9: | Dst: ff02::16: | Len: 90 bytes | TTL:  | Flags:  | DPID: 0000000000000001 Port: 3 | IPv6 fe80::200:ff:fe00:9 → ff02::16
