packet_id,timestamp,dpid,in_port,eth_src,eth_dst,protocol,src_ip,dst_ip,src_port,dst_port,ttl,packet_len,tcp_flags,icmp_type,icmp_code,arp_opcode,arp_src_ip,arp_dst_ip,info
3031,2026-04-18T10:18:57.242,0000000000000002,4,4e:28:dc:1e:4c:40,33:33:00:00:00:02,IPv6,fe80::4c28:dcff:fe1e:4c40,ff02::2,,,,70,,,,,,,IPv6 fe80::4c28:dcff:fe1e:4c40 → ff02::2
3032,2026-04-18T10:18:57.310,0000000000000001,1,00:00:00:00:00:02,33:33:00:00:00:02,IPv6,fe80::200:ff:fe00:2,ff02::2,,,,70,,,,,,,IPv6 fe80::200:ff:fe00:2 → ff02::2
3033,2026-04-18T10:18:57.418,0000000000000004,4,00:00:00:00:00:02,33:33:00:00:00:02,IPv6,fe80::200:ff:fe00:2,ff02::2,,,,70,,,,,,,IPv6 fe80::200:ff:fe00:2 → ff02::2
3034,2026-04-18T10:18:57.521,0000000000000003,4,00:00:00:00:00:02,33:33:00:00:00:02,IPv6,fe80::200:ff:fe00:2,ff02::2,,,,70,,,,,,,IPv6 fe80::200:ff:fe00:2 → ff02::2
3035,2026-04-18T10:19:23.446,0000000000000002,1,00:00:00:00:00:01,00:00:00:00:00:06,TCP,10.0.0.1,10.0.0.6,50664,5001,64,74,SYN,,,,,,TCP 10.0.0.1:50664 → 10.0.0.6:5001 [SYN]
3036,2026-04-18T10:19:23.631,0000000000000001,1,00:00:00:00:00:01,00:00:00:00:00:06,TCP,10.0.0.1,10.0.0.6,50664,5001,64,74,SYN,,,,,,TCP 10.0.0.1:50664 → 10.0.0.6:5001 [SYN]
3037,2026-04-18T10:19:23.750,0000000000000004,4,00:00:00:00:00:01,00:00:00:00:00:06,TCP,10.0.0.1,10.0.0.6,50664,5001,64,74,SYN,,,,,,TCP 10.0.0.1:50664 → 10.0.0.6:5001 [SYN]
3038,2026-04-18T10:19:23.819,0000000000000003,4,00:00:00:00:00:01,00:00:00:00:00:06,TCP,10.0.0.1,10.0.0.6,50664,5001,64,74,SYN,,,,,,TCP 10.0.0.1:50664 → 10.0.0.6:5001 [SYN]
3039,2026-04-18T10:19:23.887,0000000000000003,3,00:00:00:00:00:06,00:00:00:00:00:01,TCP,10.0.0.6,10.0.0.1,5001,50664,64,74,SYN|ACK,,,,,,TCP 10.0.0.6:5001 → 10.0.0.1:50664 [SYN|ACK]
3040,2026-04-18T10:19:23.953,0000000000000001,2,00:00:00:00:00:06,00:00:00:00:00:01,TCP,10.0.0.6,10.0.0.1,5001,50664,64,74,SYN|ACK,,,,,,TCP 10.0.0.6:5001 → 10.0.0.1:50664 [SYN|ACK]
